charge
BP_11320
BP_17550.14(A)
BP_2052(A)
BP_22430(A)
BP_22753(A)
BP_4060
BP_4324(A)
BP_4324(B)
BP_7028.16
BP_729(A)
CI_1916.3(B)
CI_2945.4(A)
CI_2945.4(G)
CI_892(A)
EL_18100
EL_18101
EL_18560(B)
EL_18560(C)
EL_18611
EL_18660
FA_18848
GC_6254.21(B)
HN_655(F)
HS_11106(J)
HS_11157
HS_11166
HS_11173(A)
HS_11173(D)
HS_11350(A)
HS_11350(B)
HS_11355
HS_11357(A)
HS_11360(A)
HS_11366
HS_11366.5(A)
HS_11368
HS_11375(B)(1)
HS_11377(A)
HS_11382
HS_11391
HS_12700(B)(3)
HS_12702(C)
HS_12761
HS_1390
HS_25160(B)(1)
HS_25163(A)(1)
HS_25189.6(A)
IC_11880(A)
IC_1871.4(A)(1)
PC_1026.4(A)
PC_11411(B)
PC_11411(C)
PC_11411(D)
PC_11418.1
PC_11418.5(A)
PC_115.1(B)
PC_118.1
PC_1195
PC_12020(A)
PC_12020(A)(1)
PC_12020(A)(2)
PC_12020(A)(3)
PC_12020(A)(4)
PC_12021(C)(1)
PC_12021(D)(1)
PC_12021(E)
PC_12021(G)(1)
PC_12023(A)
PC_12025(A)(1)
PC_12025(A)(2)
PC_12025(A)(3)
PC_12025(B)(5)
PC_12025(B)(6)(A)
PC_12031(A)(1)
PC_12031(A)(2)(E)
PC_12031(A)(2)(F)
PC_12072(A)(2)
PC_12072(A)(3)(A)
PC_12072(A)(4)
PC_12072(A)(5)
PC_12072(D)
PC_12076(B)(1)
PC_12101(A)(1)
PC_12101(B)(1)
PC_12280(B)
PC_12303
PC_12304
PC_12316(B)(1)
PC_12320
PC_12403.7
PC_12403.7(B)
PC_12403.7(C)
PC_12403.7(D)
PC_12403.7(E)(1)
PC_12403.7(G)
PC_1320.5
PC_1320(B)
PC_136.1(A)(1)
PC_136.1(A)(2)
PC_136.1(B)(1)
PC_136.1(B)(2)
PC_136.1(B)(3)
PC_136.5
PC_136.7
PC_139(A)
PC_140(A)
PC_14166(B)
PC_14166(C)
PC_142(A)
PC_146A(B)(1)
PC_146A(B)(2)
PC_146A(B)(3)
PC_146A(B)(4)
PC_148.1(A)
PC_148.1(B)
PC_148.1(C)
PC_148.1(D)
PC_148.10(A)
PC_148(B)
PC_148(D)
PC_149
PC_153
PC_166(C)(4)
PC_166(D)(1)
PC_171B(A)(1)
PC_171B(A)(2)
PC_171B(A)(3)
PC_171B(A)(4)
PC_171B(A)(5)
PC_171B(A)(6)
PC_171C(A)(1)
PC_171D(A)
PC_171D(B)
PC_182.5
PC_182(A)(1)
PC_182(A)(2)
PC_182(A)(3)
PC_182(A)(4)
PC_182(A)(5)
PC_186.10(A)
PC_186.22(A)
PC_186.22(D)
PC_186.26(C)
PC_186.28(A)
PC_18710(A)
PC_18735(A)
PC_191.5(B)
PC_19100
PC_192.5(B)
PC_192.5(C)
PC_192(C)(1)
PC_19200(A)
PC_20110(B)
PC_20310
PC_20410
PC_2042
PC_20510
PC_20610
PC_20710
PC_20910
PC_21110
PC_21310
PC_217.1(A)
PC_218.1
PC_21810
PC_219.2
PC_22010
PC_22210
PC_22410
PC_22810(A)
PC_22810(C)
PC_22810(D)
PC_22810(E)(1)
PC_22810(G)(1)
PC_22910(A)
PC_22910(B)
PC_236
PC_237(A)
PC_241.1
PC_241.4
PC_242
PC_243.15
PC_243.3
PC_243.4(A)
PC_243.4(B)
PC_243.4(C)
PC_243.4(D)
PC_243.6
PC_243.9(A)
PC_243(C)(1)
PC_243(C)(2)
PC_243(D)
PC_24310
PC_244.5(B)
PC_244.5(C)
PC_24410
PC_245.5(C)
PC_245.6(D)
PC_245(A)(1)
PC_245(A)(2)
PC_245(A)(4)
PC_24510
PC_246
PC_246.3
PC_246.3(A)
PC_24610
PC_247.5
PC_24710
PC_25100(A)
PC_25300(A)
PC_25400(A)(1)
PC_25400(A)(2)
PC_25400(A)(3)
PC_25400(C)(5)
PC_25400(C)(6)
PC_25400(C)(6)(B)
PC_25800(A)
PC_25850(A)
PC_25850(C)(5)
PC_25850(C)(6)
PC_261.5(C)
PC_261.5(D)
PC_26100(B)
PC_26100(D)
PC_266
PC_266C
PC_270
PC_271
PC_271A
PC_273.5(A)
PC_273.5(F)(1)
PC_273.5(F)(2)
PC_273.6(D)
PC_273.6(E)
PC_273A(A)
PC_273D(A)
PC_27500(B)
PC_27505(A)
PC_27510(A)
PC_27515
PC_27520
PC_27545
PC_27585(A)
PC_2772
PC_278
PC_278.5
PC_2790
PC_280(B)
PC_281(A)
PC_28210(A)(1)
PC_286(B)(1)
PC_286(E)
PC_286(H)
PC_287(B)(1)
PC_287(E)
PC_287(H)
PC_288.2(A)
PC_288.2(A)(1)
PC_288.2(A)(2)
PC_288.2(B)
PC_288.3
PC_288.3(A)
PC_288.4
PC_288(C)(1)
PC_288(C)(2)
PC_288A(B)(1)
PC_288A(E)
PC_288A(H)
PC_289.6(A)
PC_289.6(A)(2)
PC_289.6(A)(3)
PC_289(C)
PC_289(H)
PC_290.002
PC_290.005
PC_290.006
PC_290.01
PC_290.011(A)
PC_290.011(B)
PC_290.011(C)
PC_290.011(D)
PC_290.011(F)
PC_290.012(A)
PC_290.012(B)
PC_290.012(C)
PC_290.013(A)
PC_290.014
PC_290.015
PC_290.018(D)
PC_290.018(F)
PC_290.018(G)
PC_290(A)(1)(A)
PC_290(A)(1)(B)
PC_290(A)(1)(C)
PC_290(A)(1)(D)
PC_290(A)(1)(E)
PC_290(A)(1)(G)
PC_290(B)
PC_290(E)(2)
PC_290(F)(1)
PC_290(F)(3)
PC_290(G)(5)
PC_290(G)(6)
PC_290(G)(9)
PC_29610
PC_29650
PC_29805
PC_29805(A)
PC_29805(B)
PC_29805(C)
PC_29815(A)
PC_29820(B)
PC_29825(A)
PC_299.5(I)(1)(A)
PC_30210(A)
PC_30210(B)
PC_30305(A)(1)
PC_30315
PC_30605(A)
PC_30720(A)
PC_311.1
PC_311.1(A)
PC_311.10(A)
PC_311.11(A)
PC_311.11(C)(1)
PC_311.11(C)(2)
PC_311.2(A)
PC_311.2(C)
PC_311.3(A)
PC_311.3(B)
PC_311.3(B)(1)
PC_311.3(B)(2)
PC_311.3(B)(3)
PC_311.3(B)(4)
PC_311.3(B)(5)
PC_311.3(B)(6)
PC_311.4(A)
PC_311.5
PC_311.7
PC_313.1(A)
PC_313.1(B)
PC_313.1(C)(1)
PC_313.1(C)(2)
PC_314.1
PC_31500
PC_32
PC_32310
PC_32900
PC_332(A)
PC_33215
PC_334(A)
PC_33600
PC_337.2
PC_337A(A)(1)
PC_337A(A)(2)
PC_337A(A)(3)
PC_337A(A)(4)
PC_337A(A)(5)
PC_337A(A)(6)
PC_337F(A)(1)
PC_337F(A)(2)
PC_337F(A)(3)
PC_337I
PC_337J(A)(1)
PC_337J(A)(2)
PC_337J(A)(3)
PC_337J(B)
PC_337J(C)
PC_347(B)
PC_350(A)
PC_350(A)(2)
PC_350(B)
PC_368(B)(1)
PC_368(D)
PC_368(E)
PC_374.2(A)
PC_374.8(B)
PC_375(A)
PC_387(A)
PC_399.5(A)
PC_399(B)
PC_4011.7
PC_404.6(C)
PC_417(B)
PC_417(C)
PC_422
PC_422(A)
PC_4501.1(A)
PC_451(E)
PC_452(A)
PC_452(B)
PC_452(C)
PC_453(A)
PC_4532(A)(1)
PC_4532(B)(1)
PC_4532(B)(2)
PC_4532(D)
PC_4536(A)
PC_459
PC_459.5
PC_460(B)
PC_4600(A)
PC_463(A)
PC_463(B)
PC_470
PC_470(A)
PC_470(B)
PC_470(C)
PC_470(D)
PC_470A
PC_470B
PC_471
PC_472
PC_474
PC_475(A)
PC_475(B)
PC_475(C)
PC_476
PC_476A(A)
PC_476A(B)
PC_481
PC_481.1(A)
PC_483.5(A)
PC_484
PC_484.1(A)
PC_484(A)
PC_484(A)/666
PC_484(B)
PC_484(B)(1)
PC_484B
PC_484C
PC_484E(A)
PC_484E(B)
PC_484E(D)
PC_484F(A)
PC_484F(B)
PC_484G
PC_484G(A)
PC_484G(B)
PC_484H(A)
PC_484H(B)
PC_484I(B)
PC_484I(C)
PC_485
PC_487(A)
PC_487(B)(1)(A)
PC_487(B)(2)
PC_487(B)(3)
PC_487(C)
PC_487(D)(1)
PC_487A(A)
PC_487A(B)
PC_487A(C)
PC_487E
PC_487G
PC_487H(A)
PC_487I
PC_487J
PC_490.4(A)(1)
PC_490.4(A)(2)
PC_490.4(A)(3)
PC_490.4(A)(4)
PC_496(A)
PC_496(B)
PC_496(D)
PC_496A(A)
PC_496C
PC_496D(A)
PC_498(B)(1)
PC_498(B)(2)
PC_498(B)(3)
PC_498(B)(4)
PC_498(B)(5)
PC_499C(B)(1)
PC_499C(B)(2)
PC_499C(B)(3)
PC_499C(B)(4)
PC_499C(C)
PC_499D
PC_500
PC_500(A)(1)
PC_500(A)(2)
PC_500(A)(3)
PC_502.5
PC_502.7(A)
PC_502.7(A)(1)
PC_502.7(A)(2)
PC_502.7(A)(3)
PC_502.7(A)(4)
PC_502.7(A)(5)
PC_502.7(B)(1)
PC_502.7(B)(2)
PC_502.7(C)
PC_502.7(D)
PC_502.8(B)
PC_502.8(D)
PC_502(C)(1)(A)
PC_502(C)(1)(B)
PC_502(C)(10)
PC_502(C)(11)
PC_502(C)(12)
PC_502(C)(13)
PC_502(C)(14)
PC_502(C)(2)
PC_502(C)(3)
PC_502(C)(4)
PC_502(C)(5)
PC_502(C)(6)
PC_502(C)(7)
PC_502(C)(8)
PC_503
PC_504
PC_504A
PC_504B
PC_505
PC_506
PC_507
PC_508
PC_514
PC_524
PC_529
PC_529.2
PC_529.3
PC_529(A)
PC_529(A)(1)
PC_529(A)(2)
PC_529(A)(3)
PC_529A
PC_530
PC_530.5(A)
PC_530.5(C)(2)
PC_530.5(C)(3)
PC_530.5(D)(1)
PC_530.5(D)(2)
PC_532(A)
PC_532A(1)
PC_532A(2)
PC_532A(3)
PC_532A(4)
PC_532F(A)(1)
PC_532F(A)(2)
PC_532F(A)(3)
PC_532F(A)(4)
PC_535
PC_537(C)(2)
PC_538
PC_538.5
PC_549
PC_550(A)(8)
PC_550(B)(1)
PC_550(B)(2)
PC_550(B)(3)
PC_550(B)(4)
PC_551(A)
PC_551(B)
PC_571(A)
PC_587.1(B)
PC_587(A)
PC_587(B)
PC_588A
PC_591
PC_592(B)
PC_594.3(A)
PC_594.35(A)
PC_594.35(B)
PC_594.35(C)
PC_594.35(D)
PC_594.4(A)
PC_594(A)(1)
PC_594(A)(2)
PC_594(A)(3)
PC_594(B)(1)
PC_597(A)
PC_597(B)
