cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
10016,207(A),PC,KIDNAPPING,F,881,7000,7,207(A) PC-KIDNAPPING,NA,TRUE,NA,TRUE,F_PC_207(A)
10017,207(B),PC,KIDNAP -14 TO COM L&L,F,881,2700,7,207(B) PC-KIDNAPPING:SPECIFIC CIRCUMSTANCES,NA,TRUE,NA,TRUE,F_PC_207(B)
10019,207(C),PC,KIDNAP:FORC/ETC:TAKE O/ST,F,881,7000,7,207(C) PC-KIDNAPPING:SPECIFIC CIRCUMSTANCES,NA,TRUE,NA,TRUE,F_PC_207(C)
10021,208(B),PC,KIDNAP CHILD UNDER 14 YRS,F,881,2800,7,208(B) PC-KIDNAPPING CHILD UNDER 14 YEARS OLD,NA,TRUE,NA,NA,F_PC_208(B)
10022,207(D),PC,KIDNAP:FORC/ETC:INTO CA,F,881,7000,7,207(D) PC-KIDNAP FORCE/FRAUD:INTER/INTRA STATE,NA,TRUE,NA,NA,F_PC_207(D)
10024,209.5(A),PC,KIDNAP DURING CARJACKING,F,891,2020,7,209.5(A) PC-KIDNAP DURING CARJACKING,NA,TRUE,NA,TRUE,F_PC_209.5(A)
10025,209(B)(1),PC,KIDNAP:COMIT ROB/RAPE/ETC,F,880,2000,7,209(B)(1) PC-KIDNAP:COMMIT ROBBERY/RAPE/ETC,NA,TRUE,NA,TRUE,F_PC_209(B)(1)
10026,209.5(B),PC,KIDNAP/CARJACK:VICT MOVED,F,891,2020,7,209.5(B) PC-KIDNAP/CARJACK:VICTIM MOVED,NA,TRUE,NA,TRUE,F_PC_209.5(B)
10028,209(B)(1),PC,KIDNAP TO COMMIT RAPE,F,880,2000,7,209(B)(1) PC-KIDNAP TO COMMIT RAPE,NA,TRUE,NA,TRUE,F_PC_209(B)(1)
10029,209(B)(1),PC,KIDNAP TO COMMIT ROBBERY,F,880,2000,7,209(B)(1) PC-KIDNAP TO COMMIT ROBBERY,NA,TRUE,NA,TRUE,F_PC_209(B)(1)
9189,664/187(A),PC,ATTEMPTED MURDER,F,300,2900,6,664/187(A) PC-ATTEMPTED MURDER,NA,TRUE,NA,TRUE,F_PC_664/187(A)
9190,664/187(A),PC,ATT MURDER:SECOND DEGREE,F,300,2900,6,664/187(A) PC-ATTEMPTED MURDER:SECOND DEGREE,NA,TRUE,NA,TRUE,F_PC_664/187(A)
9191,664/187(A),PC,ATT MURDER:FIRST DEGREE,F,300,2900,6,664/187(A) PC-ATTEMPTED MURDER:FIRST DEGREE,NA,TRUE,NA,TRUE,F_PC_664/187(A)
9192,664/187(A),PC,ATT MURDER:PREMEDITATED,F,300,2100,6,664/187(A) PC-ATTEMPTED MURDER:PREMEDITATED,NA,TRUE,NA,TRUE,F_PC_664/187(A)
9193,664/187(A),PC,ATT MURDER:SEC DEG ON PO,F,300,1750,6,664/187(A) PC-ATT MURDER:SEC DEG ON PEACE OFF,NA,TRUE,NA,TRUE,F_PC_664/187(A)
9194,664/189,PC,ATT MURDER:FIRST DEGREE,F,300,2900,6,664/189 PC-ATTEMPTED MURDER:FIRST DEGREE,NA,TRUE,NA,TRUE,F_PC_664/189
9195,664/189,PC,ATT MURDER:SECOND DEGREE,F,300,2900,6,NA,NA,TRUE,NA,TRUE,F_PC_664/189
9196,664/189,PC,ATTEMPTED MURDER,F,300,2900,6,664/189 PC-ATTEMPTED MURDER,NA,TRUE,NA,TRUE,F_PC_664/189
13005,203,PC,MAYHEM,F,330,10900,6,203 PC-MAYHEM,NA,TRUE,NA,TRUE,F_PC_203
13006,204,PC,MAYHEM,F,330,11000,6,204 PC-MAYHEM,NA,TRUE,NA,TRUE,F_PC_204
13008,217,PC,ASLT W/INTENT TO MURDER,F,0,11200,6,217 PC-ASSAULT W/INTENT TO MURDER,NA,NA,NA,TRUE,F_PC_217
13010,218,PC,ATTEMPT TRAIN WRECKING,F,391,1600,6,218 PC-ATTEMPT TRAIN WRECKING,NA,TRUE,NA,TRUE,F_PC_218
13011,219,PC,TRAIN WRECKING,F,391,1500,6,219 PC-TRAIN WRECKING,NA,TRUE,NA,TRUE,F_PC_219
13016,220,PC,ASSAULT TO COMMIT MAYHEM,F,330,12300,6,220 PC-ASSAULT TO COMMIT MAYHEM,NA,TRUE,NA,TRUE,F_PC_220
13029,244,PC,ASLT W/CAUSTIC CHEM/ETC,F,384,16000,6,244 PC-ASSAULT WITH CAUSTIC CHEMICAL/ETC,NA,TRUE,NA,NA,F_PC_244
13032,245(B),PC,ADW PEACE OFFICER/FIREMAN,F,0,9200,6,245(B) PC-ADW PEACE OFFICER/FIREMAN,NA,TRUE,NA,NA,F_PC_245(B)
13033,246,PC,SHOOT AT OCCUPIED DWELL,F,0,22700,6,246 PC-SHOOT AT OCCUPIED DWELLING,NA,TRUE,NA,NA,F_PC_246
13036,4500,PC,ASSAULT BY LIFE PRISONER,F,352,1400,6,4500 PC-ASSAULT BY LIFE PRISONER,NA,TRUE,NA,TRUE,F_PC_4500
13037,4501,PC,ADW BY PRISONER,F,351,11400,6,4501 PC-ASSAULT BY PRISONER,NA,TRUE,NA,NA,F_PC_4501
13038,4501.5,PC,BATTERY BY PRISONER,F,350,15600,6,4501.5 PC-BATTERY BY PRISONER,NA,TRUE,NA,NA,F_PC_4501.5
13068,245,PC,ADW PEACE OFFICER/FIREMAN,F,0,9200,6,245 PC-ADW PEACE OFFICER/FIREMAN,NA,TRUE,NA,NA,F_PC_245
13069,245(A)/12022.5,PC,ADW W/USE OF FIREARM,F,0,22395,6,245(A)/12022.5 PC-ADW W/USE OF FIREARM,NA,NA,NA,TRUE,F_PC_245(A)/12022.5
13071,245(A)/12022.7,PC,ADW WITH GREAT BODILY INJ,F,0,22394,6,245(A)/12022.7 PC-ADW WITH GBI,NA,NA,NA,TRUE,F_PC_245(A)/12022.7
13105,245.3,PC,ADW ON CUSTODIAL OFF:GBI,F,320,9400,6,245.3 PC-ADW W/LIKELY GBI ON CUSTODIAL OFFICER,NA,TRUE,NA,NA,F_PC_245.3
13106,246,PC,SHOOT:INHAB DWELL/VEH/ETC,F,382,7500,6,246 PC-SHOOT AT INHABITED DWELLING/VEHICLE/ETC,NA,TRUE,NA,NA,F_PC_246
13110,217.1(B),PC,ATT MURDER PUB OFCL,F,310,2400,6,217.1(B) PC-ATT MURDER AGAINST PUBLIC OFFICIAL,NA,TRUE,NA,TRUE,F_PC_217.1(B)
13116,245.2,PC,ADW TRANSP PRSNL/ETC,F,320,9300,6,245.2 PC-ADW ON TRANSPORTATION PERSONNEL/ETC,NA,TRUE,NA,NA,F_PC_245.2
13129,205,PC,AGGRAVATED MAYHEM,F,330,1900,6,205 PC-AGGRAVATED MAYHEM,NA,TRUE,NA,TRUE,F_PC_205
13132,245(C),PC,ADW NOT F/ARM:PO/FIRE:GBI,F,341,9200,6,245(C) PC-ADW NOT FIREARM:PO/FIREFIGHTER:GBI,NA,TRUE,NA,NA,F_PC_245(C)
13133,245(D)(1),PC,ASLT PO W/FIREARM,F,323,4400,6,245(D)(1) PC-ASLT W/FIREARM P.O./FIREFIGHTER,NA,TRUE,NA,NA,F_PC_245(D)(1)
13134,245(D)(2),PC,ASLT PO W/SEMIAUTO RIFLE,F,323,3000,6,245(D)(2) PC-ASLT W/SEMIAUTO RIFLE PO/FIREFTR,NA,TRUE,NA,NA,F_PC_245(D)(2)
13138,245.5,PC,ADW/ETC ON SCHOOL EMP,F,0,9500,6,245.5 PC-ADW/ETC ON SCHOOL EMPLOYEE,NA,TRUE,NA,NA,F_PC_245.5
13139,245.5(A),PC,ADW/GBI SCHL EMP:NO F/ARM,F,320,9500,6,245.5(A) PC-ADW/LIKELY GBI SCH EMP:NOT FIREARM,NA,TRUE,NA,NA,F_PC_245.5(A)
13140,245.5(B),PC,ASLT SCHOOL EMP W/FIREARM,F,321,4600,6,245.5(B) PC-ASSAULT W/FIREARM ON SCH EMPLOYEE,NA,TRUE,NA,NA,F_PC_245.5(B)
13141,245.5(C),PC,ASLT SCH EMP W/STUN GUN,F,384,22260,6,245.5(C) PC-ASSAULT SCH EMP W/STUN GUN/TASER,NA,TRUE,NA,NA,F_PC_245.5(C)
13142,206,PC,TORTURE,F,330,1910,6,206 PC-TORTURE,NA,TRUE,NA,TRUE,F_PC_206
13143,245(D)(3),PC,ASLT PO W/MACHINEGUN/ETC,F,323,2600,6,245(D)(3) PC-ASLT W/MACH GUN/ETC PO/FIREFTR,NA,TRUE,NA,TRUE,F_PC_245(D)(3)
13164,245(D)(2),PC,ASLT:SEMIAUTO F/ARM:PO/FF,F,323,3000,6,245(D)(2) PC-ASLT:W/SEMIAUTO F/ARM:PO/FIREFITR,NA,TRUE,NA,NA,F_PC_245(D)(2)
13190,4501.1(A),PC,AGG BAT:GASSING BY PRISNR,F,350,15600,6,4501.1(A) PC-AGGRAVATD BAT:GASSING BY PRISONER,NA,TRUE,NA,NA,F_PC_4501.1(A)
16001,422,PC,THRTN CRIME:INT:TERRORIZE,F,345,40600,6,422 PC-THREATEN CRIME WITH INTENT TO TERRORIZE,NA,TRUE,NA,NA,F_PC_422
16002,422(A),PC,THREAT TO TERRORIZE,F,345,23900,6,422(A) PC-THREATEN CRIME W/INTENT TO TERRORIZE,NA,TRUE,NA,NA,F_PC_422(A)
16008,11413(A),PC,USE EXPL DEV TO TERRORIZE,F,362,7400,6,11413(A) PC-TERRORISM:SPEC CIRCUM,NA,TRUE,NA,NA,F_PC_11413(A)
16026,11418(B)(1),PC,USE WPN MS DEST:INJRY/ETC,F,360,1800,6,NA,NA,TRUE,NA,TRUE,F_PC_11418(B)(1)
16027,11418(B)(2),PC,USE WPN MS DEST:WATER/ETC,F,362,4100,6,NA,NA,TRUE,NA,TRUE,F_PC_11418(B)(2)
16028,11418(B)(3),PC,USE WPN MS DEST:ANML/CROP,F,362,4100,6,11418(B)(3) PC-USE WPN MASS DEST:ANML/CROPS,NA,TRUE,NA,TRUE,F_PC_11418(B)(3)
16029,11418(C),PC,USE WPN MAS DEST:NATL RES,F,362,8950,6,NA,NA,TRUE,NA,TRUE,F_PC_11418(C)
16036,11418(B)(2),PC,USE WPN MASS DEST:W/GBI,F,360,1800,6,NA,NA,TRUE,NA,TRUE,F_PC_11418(B)(2)
16037,11418(B)(3),PC,USE WPN MS DEST:FOOD/WATR,F,362,2670,6,NA,NA,TRUE,NA,TRUE,F_PC_11418(B)(3)
16038,11418(B)(4),PC,USE WPN MS DEST:ANML/CROP,F,362,4100,6,NA,NA,TRUE,NA,TRUE,F_PC_11418(B)(4)
16039,11418(D)(1),PC,CREATE NEW/ETC:WPN MS DST,F,362,4100,6,NA,NA,TRUE,NA,NA,F_PC_11418(D)(1)
16049,422(A),PC,THRTN CRIME:INT:TERRORIZE,F,345,40600,6,422(A) PC-THREATEN CRIME W/INTENT TO TERRORIZE,NA,TRUE,NA,NA,F_PC_422(A)
38078,273AB(B),PC,ASLT CHILD-8:GBI:PERM INJ,F,370,1800,6,273AB(B) PC-ASLT:CHILD-8:GBI:PERM INJ,NA,TRUE,NA,TRUE,F_PC_273AB(B)
52104,12309,PC,USE DESTRCT DEV CAUSE GBI,F,361,3100,6,12309 PC-USE DEST DEVICE CAUSING BODILY INJURY,NA,TRUE,NA,NA,F_PC_12309
52105,12308,PC,USE DEST DEVCE:INT:MURDER,F,361,3200,6,12308 PC-USE DEST DEVICE WITH INTENT TO MURDER,NA,TRUE,NA,TRUE,F_PC_12308
52106,12310,PC,DSTRCT DVC:DEATH/GBI/ETC,F,0,1800,6,12310 PC-DESTRUCT DEVICE CAUSE DEATH/GBI/ETC,NA,TRUE,NA,NA,F_PC_12310
52116,12310(B),PC,DESTRUCT DEVICE:MAYHM/GBI,F,360,1800,6,12310(B) PC-DEST DEVICE CAUSING MAYHEM/GBI,NA,TRUE,NA,TRUE,F_PC_12310(B)
52387,246.3(A),PC,WIL DISCH F/ARM W/GRS NEG,F,382,39690,6,246.3(A) PC-WILLFUL DISH F/ARM W/GRS NEGL,NA,TRUE,NA,NA,F_PC_246.3(A)
52507,18755(B),PC,DESTRUCT DEVICE:MAYHM/GBI,F,360,1800,6,18755(B) PC-DESTRUCT DEVICE CAUSING MAYHEM/GBI,NA,TRUE,NA,TRUE,F_PC_18755(B)
52630,18740,PC,USE/ETC EXPLO/DEV:INJ/ETC,F,362,7300,6,18740 PC-USE/ETC EXPLO/ETC/DEVICE:INT:INJ/ETC,NA,TRUE,NA,NA,F_PC_18740
52665,18745,PC,USE EXPLO/DEV:COMM MURDER,F,360,2500,6,18745 PC-USE EXPLO/DEV W/INT TO COMMIT MURDER,NA,TRUE,NA,TRUE,F_PC_18745
52679,18750,PC,USE EXPLO/DEV:CAUSE GBI,F,360,3100,6,NA,NA,TRUE,NA,TRUE,F_PC_18750
56025,422.7(A),PC,CIV RGT VIOL:VIOLENT INJ,F,393,41450,6,422.7(A) PC-VIOL CVL RGTS:CAUSE VIOLNT INJ/ETC,NA,TRUE,NA,NA,F_PC_422.7(A)
12004,211,PC,ROBBERY,F,200,8900,5,211 PC-ROBBERY,NA,TRUE,NA,TRUE,F_PC_211
12005,211A,PC,ROBBERY:FIRST DEGREE,F,0,14400,5,211A PC-ROBBERY:FIRST DEGREE,NA,TRUE,NA,TRUE,F_PC_211A
12006,211A,PC,ROBBERY:SECOND DEGREE,F,0,14400,5,211A PC-ROBBERY:SECOND DEGREE,NA,TRUE,NA,TRUE,F_PC_211A
12008,213,PC,ROBBERY,F,0,8900,5,213 PC-ROBBERY,NA,NA,NA,TRUE,F_PC_213
12009,213.1,PC,ROBBERY:FIRST DEGREE,F,0,14400,5,213.1 PC-ROBBERY:FIRST DEGREE,NA,NA,NA,TRUE,F_PC_213.1
12010,213.2,PC,ROBBERY:SECOND DEGREE,F,0,14400,5,213.2 PC-ROBBERY:SECOND DEGREE,NA,NA,NA,TRUE,F_PC_213.2
12011,214,PC,TRAIN ROBBERY,F,200,23600,5,214 PC-TRAIN ROBBERY,NA,TRUE,NA,TRUE,F_PC_214
12012,220,PC,ASSAULT TO COMMIT ROBBERY,F,0,38000,5,220 PC-ASSAULT TO COMMIT ROBBERY,NA,NA,NA,TRUE,F_PC_220
12017,211,PC,ROBBERY:FIRST DEGREE,F,210,8900,5,211 PC-ROBBERY:FIRST DEGREE,NA,TRUE,NA,TRUE,F_PC_211
12018,211,PC,ROBBERY:SECOND DEGREE,F,220,14400,5,211 PC-ROBBERY:SECOND DEGREE,NA,TRUE,NA,TRUE,F_PC_211
12019,211,PC,ARMED ROBBERY,F,0,14400,5,211 PC-ARMED ROBBERY,NA,TRUE,NA,TRUE,F_PC_211
12020,211,PC,STRONGARM ROBBERY,F,0,14400,5,211 PC-STRONGARM ROBBERY,NA,TRUE,NA,TRUE,F_PC_211
12025,211A,PC,ROBBERY,F,0,14400,5,211A PC-ROBBERY,NA,TRUE,NA,TRUE,F_PC_211A
12026,211/12022(A),PC,ROBBERY WHILE ARMED,F,0,14406,5,211/12022(A) PC-ROBBERY WHILE ARMED,NA,TRUE,NA,TRUE,F_PC_211/12022(A)
12027,211/12022(B),PC,ROBBERY W/USE DEADLY WPN,F,0,14405,5,211/12022(B) PC-ROBBERY W/USE DEADLY WEAPON,NA,TRUE,NA,TRUE,F_PC_211/12022(B)
12028,211/12022.7,PC,ROBBERY WITH GBI,F,0,14390,5,211/12022.7 PC-ROBBERY WITH GBI,NA,TRUE,NA,TRUE,F_PC_211/12022.7
12030,212.5(A),PC,ROB:1ST DEG:CAB/ETC/DWELL,F,210,8900,5,212.5(A) PC-ROB:1ST DEG:CAB/ETC/INHAB DWELL,NA,TRUE,NA,TRUE,F_PC_212.5(A)
12031,212.5(B),PC,ROBBERY:SECOND DEGREE,F,220,14400,5,212.5(B) PC-ROBBERY:SECOND DEGREE,NA,TRUE,NA,TRUE,F_PC_212.5(B)
12032,212.5,PC,ROBBERY,F,200,8900,5,212.5 PC-ROBBERY,NA,TRUE,NA,TRUE,F_PC_212.5
12033,213(A)(2),PC,ROBBERY:SECOND DEGREE,F,220,14400,5,213(A)(2) PC-ROBBERY:SECOND DEGREE,NA,TRUE,NA,TRUE,F_PC_213(A)(2)
12034,213(B),PC,ATTEMPTED ROBBERY,F,230,23500,5,213(B) PC-ATTEMPTED ROBBERY,NA,NA,NA,TRUE,F_PC_213(B)
12035,212.5(B),PC,ROB:FIRST DEGREE:ATM/ETC,F,210,8900,5,212.5(B) PC-ROBBERY:FIRST DEGREE:ATM/ETC,NA,TRUE,NA,NA,F_PC_212.5(B)
12036,212.5(C),PC,ROBBERY:SECOND DEGREE,F,220,14400,5,212.5(C) PC-ROBBERY:SECOND DEGREE,NA,TRUE,NA,TRUE,F_PC_212.5(C)
12037,213(B),PC,ATTEMPTED ROBBERY:SEC DEG,F,230,23500,5,213(B) PC-ATTEMPTED ROBBERY:SECOND DEGREE,NA,NA,NA,TRUE,F_PC_213(B)
12039,213(A)(1)(A),PC,ROB 1:INHAB DWELL:CONCERT,F,210,4790,5,213(A)(1)(A) PC-ROB 1:INHAB DWELL:IN CONCERT,NA,TRUE,NA,TRUE,F_PC_213(A)(1)(A)
12040,211,PC,ROBBERY 1ST DEG HOME INV,F,210,4790,5,NA,NA,TRUE,NA,TRUE,F_PC_211
23131,215(A),PC,CARJACKING,F,250,6850,5,215(A) PC-CARJACKING,NA,TRUE,NA,TRUE,F_PC_215(A)
23156,215,PC,CARJACKING,F,250,6850,5,215 PC-CARJACKING,NA,NA,NA,TRUE,F_PC_215
11004,220,PC,ASSAULT:COMMIT RAPE,F,620,11800,4,220 PC-ASSAULT TO COMMIT RAPE,NA,TRUE,NA,TRUE,F_PC_220
11005,220,PC,ASSAULT TO COMMIT SODOMY,F,791,12400,4,220 PC-ASSAULT TO COMMIT SODOMY,NA,TRUE,NA,TRUE,F_PC_220
11006,261,PC,RAPE,F,600,5400,4,261 PC-RAPE,NA,TRUE,NA,NA,F_PC_261
11007,261(1),PC,RAPE:VICT INCPBL OF CNSNT,F,610,5400,4,261(1) PC-RAPE:VICTIM INCAPABLE OF CONSENT,NA,TRUE,NA,NA,F_PC_261(1)
11008,261.2,PC,RAPE INCOMPETENT FEMALE,F,0,5400,4,261.2 PC-RAPE OF INCOMPETENT FEMALE,NA,TRUE,NA,NA,F_PC_261.2
11009,261.2,PC,RAPE BY FORCE,F,0,5400,4,261.2 PC-RAPE BY FORCE,NA,TRUE,NA,NA,F_PC_261.2
11010,261.3,PC,RAPE BY FORCE,F,0,5400,4,261.3 PC-RAPE BY FORCE,NA,TRUE,NA,NA,F_PC_261.3
11011,261.3,PC,RAPE BY THREAT,F,0,5400,4,261.3 PC-RAPE BY THREAT,NA,TRUE,NA,NA,F_PC_261.3
11012,261.4,PC,RAPE BY THREAT,F,0,5400,4,261.4 PC-RAPE BY THREAT,NA,TRUE,NA,NA,F_PC_261.4
11013,261(4),PC,RAPE:VICT UNCONSC OF ACT,F,610,5400,4,261(4) PC-RAPE:VICTIM UNCONSC OF NATURE OF ACT,NA,TRUE,NA,NA,F_PC_261(4)
11014,261.5,PC,RAPE:VICT UNCONSC OF ACT,F,0,5400,4,261.5 PC-RAPE:VICTIM UNCONSC OF NATURE OF ACT,NA,TRUE,NA,NA,F_PC_261.5
11015,261(5),PC,RAPE:BELIEF PERP IS SPOUS,F,610,5400,4,261(5) PC-RAPE:SUBMIT BELIEVE PERSON IS SPOUSE,NA,TRUE,NA,NA,F_PC_261(5)
11016,261.6,PC,RAPE:BELIEF PRSN IS SPOUS,F,0,5400,4,261.6 PC-RAPE/SUBMITS BELIEVE PERSON IS SPOUSE,NA,TRUE,NA,NA,F_PC_261.6
11017,264,PC,RAPE,F,0,5400,4,264 PC-RAPE,NA,TRUE,NA,NA,F_PC_264
11018,264.1,PC,RAPE/ETC:CNCRT FORCE/VIOL,F,635,3300,4,264.1 PC-RAPE/ETC:CONCERT W/FORCE/VIOLENCE,NA,TRUE,NA,TRUE,F_PC_264.1
11024,220/261,PC,ASSAULT TO COMMIT RAPE,F,0,11800,4,220/261 PC-ASSAULT TO COMMIT RAPE,NA,TRUE,NA,TRUE,F_PC_220/261
11025,261/12022.5,PC,RAPE/USE OF FIREARM,F,0,5395,4,NA,NA,TRUE,NA,TRUE,F_PC_261/12022.5
11027,261.2/261.3,PC,RAPE W/FORCE & THREAT,F,0,5500,4,261.2/261.3 PC-RAPE W/FORCE & THREAT,NA,TRUE,NA,NA,F_PC_261.2/261.3
11030,220,PC,ASLT:MAYHEM/RAPE/ETC,F,620,11800,4,220 PC-ASSAULT TO COMMIT MAYHEM/RAPE ETC,NA,TRUE,NA,TRUE,F_PC_220
11033,262,PC,RAPE SPOUSE BY FORCE/ETC,F,0,6500,4,262 PC-RAPE OF SPOUSE BY FORCE/THREAT/FEAR,NA,TRUE,NA,NA,F_PC_262
11035,262(A)(1),PC,RAPE OF SPOUSE BY FORCE,F,0,6600,4,262(A)(1) PC-RAPE OF SPOUSE BY FORCE,NA,TRUE,NA,TRUE,F_PC_262(A)(1)
11037,262(A)(2),PC,RAPE OF SPOUSE BY THREAT,F,0,6700,4,262(A)(2) PC-RAPE OF SPOUSE BY THREAT,NA,TRUE,NA,NA,F_PC_262(A)(2)
11040,261(2),PC,RAPE BY FORCE/FEAR/ETC,F,610,5400,4,261(2) PC-RAPE BY FORCE/FEAR/ETC,NA,TRUE,NA,NA,F_PC_261(2)
11041,261(3),PC,RAPE OF DRUGGED VICTIM,F,610,5400,4,261(3) PC-RAPE OF DRUGGED VICTIM,NA,TRUE,NA,NA,F_PC_261(3)
11042,262(A),PC,RAPE OF SPOUSE,F,0,6800,4,262(A) PC-RAPE OF SPOUSE,NA,TRUE,NA,NA,F_PC_262(A)
11044,261(2)/264.1,PC,RAPE CONCERT BY FORCE/ETC,F,0,3300,4,261(2)/264.1 PC-RAPE IN CONCERT BY FORCE/ETC,NA,TRUE,NA,NA,F_PC_261(2)/264.1
11045,220/261(2),PC,ASLT TO RAPE FORCE/FEAR,F,0,11800,4,220/261(2) PC-ASLT TO COMMIT RAPE FORCE/FEAR,NA,TRUE,NA,TRUE,F_PC_220/261(2)
11046,262(A),PC,RAPE SPOUSE BY FORCE/ETC,F,611,6800,4,262(A) PC-RAPE OF SPOUSE BY FORCE/ETC,NA,TRUE,NA,NA,F_PC_262(A)
11047,220/264.1,PC,ASLT RAPE CONCRT FORC/VIO,F,0,12200,4,220/264.1 PC-ASSLT TO RAPE IN CONCRT FORC/VIOL,NA,TRUE,NA,TRUE,F_PC_220/264.1
11048,261(6),PC,RAPE:THREAT RETALIATION,F,610,5400,4,261(6) PC-RAPE BY THREAT OF RETALIATION,NA,TRUE,NA,NA,F_PC_261(6)
11050,261(7),PC,RAPE:THREAT:AUTH OF AREST,F,610,5400,4,261(7) PC-RAPE:VICTIM THREATENED OF ARREST/ETC,NA,TRUE,NA,NA,F_PC_261(7)
11054,261(A)(1),PC,RAPE:VICT INCPBL OF CNSNT,F,610,5400,4,261(A)(1) PC-RAPE:VICTIM INCAPABLE OF CONSENT,NA,TRUE,NA,NA,F_PC_261(A)(1)
11055,261(A)(2),PC,RAPE BY FORCE/FEAR/ETC,F,610,5400,4,261(A)(2) PC-RAPE:FORCE/FEAR/ETC,NA,TRUE,NA,TRUE,F_PC_261(A)(2)
11056,261(A)(3),PC,RAPE OF DRUGGED VICTIM,F,610,5400,4,261(A)(3) PC-RAPE:VICTIM DRUGGED,NA,TRUE,NA,NA,F_PC_261(A)(3)
11057,261(A)(4),PC,RAPE:VICT UNCONSC OF ACT,F,610,5400,4,261(A)(4) PC-RAPE:VICTIM UNCONSC NATURE OF ACT,NA,TRUE,NA,NA,F_PC_261(A)(4)
11058,261(A)(5),PC,RAPE:VICT THINKS SPOUSE,F,610,5400,4,261(A)(5) PC-RAPE:VICT BELIEVE PERSN IS SPOUSE,NA,TRUE,NA,NA,F_PC_261(A)(5)
11059,261(A)(6),PC,RAPE:THREAT RETALIATION,F,610,5400,4,261(A)(6) PC-RAPE:THREAT OF RETALIATION,NA,TRUE,NA,TRUE,F_PC_261(A)(6)
11060,261(A)(7),PC,RAPE:THREAT:AUTH:ARST/ETC,F,610,5400,4,261(A)(7) PC-RAPE:VICT THREATENED ARREST/ETC,NA,TRUE,NA,NA,F_PC_261(A)(7)
11062,262(A)(1),PC,RAPE SPOUSE BY FORCE/ETC,F,611,6490,4,262(A)(1) PC-RAPE SPOUSE BY FORCE/FEAR/ETC,NA,TRUE,NA,TRUE,F_PC_262(A)(1)
11063,220,PC,ASLT:PENETRATE W/OBJECT,F,705,12000,4,220 PC-ASSAULT TO PENETRATE W/FOREIGN OBJECT,NA,TRUE,NA,TRUE,F_PC_220
11064,220,PC,ASSLT TO COMMIT ORAL COP,F,710,12100,4,220 PC-ASSAULT TO COMMIT ORAL COPULATION,NA,TRUE,NA,TRUE,F_PC_220
11066,269(A)(1),PC,AGG SEX ASLT:MNR:FRCE/ETC,F,621,2435,4,269(A)(1) PC-AGGRAVATED SEX ASLT:MNR:FORCE/ETC,NA,TRUE,NA,TRUE,F_PC_269(A)(1)
11067,262(A)(2),PC,RAPE SPOUSE UND C/SUB/ETC,F,611,6490,4,262(A)(2) PC-RAPE OF SPOUSE UNDER CNTL SUB/ETC,NA,TRUE,NA,NA,F_PC_262(A)(2)
11068,220,PC,ASLT:RAPE:CONCERT W/OTHER,F,635,12200,4,220 PC-ASLT:COMMIT RAPE:IN CONCERT WITH OTHER,NA,TRUE,NA,TRUE,F_PC_220
11069,269(A)(5),PC,AGG SEX ASLT:MNR:FRGN OBJ,F,705,2440,4,269(A)(5) PC-AGG SEX ASLT:MINOR W/FOREIGN OBJ,NA,TRUE,NA,TRUE,F_PC_269(A)(5)
11070,262(A)(3),PC,RAPE:SPOUSE UNCON OF ACT,F,611,6490,4,262(A)(3) PC-RAPE:SPOUS UNCON OF NATURE OF ACT,NA,TRUE,NA,NA,F_PC_262(A)(3)
11071,262(A)(4),PC,RAPE SPOUS:THRET RETALIAT,F,611,6490,4,262(A)(4) PC-RAPE OF SPOUSE:THREAT RETALIATION,NA,TRUE,NA,TRUE,F_PC_262(A)(4)
11072,262(A)(5),PC,RAPE SPOUS:THRET:ARST/ETC,F,611,6490,4,NA,NA,TRUE,NA,NA,F_PC_262(A)(5)
11074,269(A)(4),PC,AGG SEX ASLT:MNR:ORAL/ETC,F,705,2440,4,269(A)(4) PC-AGG SEX ASLT:MNR:ORAL/FEAR/ETC,NA,TRUE,NA,TRUE,F_PC_269(A)(4)
11075,289(A)(1),PC,SEX PENETRATION:FORCE/ETC,F,705,6200,4,289(A)(1) PC-SEXUAL PENETRATION W/FORCE/ETC,NA,TRUE,NA,TRUE,F_PC_289(A)(1)
11076,289(A)(2),PC,SEX PEN:THRET RETALIATION,F,705,6200,4,289(A)(2) PC-SEXUAL PEN:THREAT RETALIATION,NA,NA,NA,TRUE,F_PC_289(A)(2)
11077,269(A)(3),PC,AGG SEX ASLT:MNR:SDMY/ETC,F,734,2440,4,269(A)(3) PC-AGG SEX ASLT:MNR:SDMY/FORCE/ETC,NA,TRUE,NA,TRUE,F_PC_269(A)(3)
11080,269(A)(2),PC,AGG SEX ASLT:MNR:264.1PC,F,635,2435,4,269(A)(2) PC-AGGRAVATED SEX ASLT:MNR:264.1PC,NA,TRUE,NA,TRUE,F_PC_269(A)(2)
11085,261(A)(4)(A),PC,RAPE:VICT UNCONSCIOUS,F,610,5400,4,261(A)(4)(A) PC-RAPE:VICTIM UNCONSCIOUS,NA,TRUE,NA,NA,F_PC_261(A)(4)(A)
11086,261(A)(4)(B),PC,RAPE:VICTIM NOT AWARE,F,610,5400,4,261(A)(4)(B) PC-RAPE:VICTIM NOT AWARE,NA,TRUE,NA,NA,F_PC_261(A)(4)(B)
